"","mo","temp","NUM_COLLISIONS"
"1384",4,44,0.66120218579235
"1391",4,49.6,0.715846994535519
"1741",4,41.9,0.660668380462725
"1748",4,49.8,0.344473007712082
"1755",4,47.5,0.452442159383033
"2105",4,39.9,0.205263157894737
"2126",4,50,0.726315789473684
"2469",4,44.5,0.679790026246719
"2476",4,40.3,0.356955380577428
"2483",4,43.7,0.364829396325459
"306",5,49.9,0.552238805970149
"320",5,57.7,0.474626865671642
"334",5,60.9,0.850746268656716
"670",5,50.3,0.75
"684",5,57.8,0.777439024390244
"698",5,52,0.789634146341463
"1055",5,54.8,0.566489361702128
"1062",5,62.4,0.74468085106383
"1405",5,45.5,0.530054644808743
"1419",5,53.9,0.715846994535519
"1426",5,65.7,0.846994535519126
"1769",5,51.5,0.629820051413882
"1776",5,49.5,0.591259640102828
"1790",5,53.8,0.735218508997429
"2140",5,51,0.552631578947368
"2504",5,47.7,0.503937007874016
"348",6,60.8,0.402985074626866
"705",6,60,0.503048780487805
"712",6,61,0.484756097560976
"726",6,66.7,0.810975609756098
"1069",6,52.2,0.398936170212766
"1076",6,64.6,0.702127659574468
"1433",6,55.7,0.685792349726776
"1440",6,59.9,0.693989071038251
"1447",6,65.2,0.702185792349727
"2189",6,64.1,0.747368421052632
"2532",6,62,0.900262467191601
"2539",6,56.7,0.611548556430446
"26",7,78,0.638095238095238
"376",7,71.8,0.447761194029851
"390",7,67.7,0.319402985074627
"740",7,69.4,0.548780487804878
"754",7,69.6,0.411585365853659
"1104",7,69.1,0.438829787234043
"1111",7,67.3,0.75531914893617
"1475",7,69.1,0.844262295081967
"2217",7,69.8,0.402631578947368
"411",8,67.2,0.594029850746269
"425",8,65.7,0.513432835820895
"768",8,69.3,0.551829268292683
"775",8,67.8,0.673780487804878
"789",8,71,0.652439024390244
"1146",8,73.4,0.526595744680851
"1888",8,66.2,0.416452442159383
"2224",8,73.7,0.707894736842105
