"","day","mo","NUM_COLLISIONS"
"2238",4,8,0.510526315789474
"2245",4,8,0.413157894736842
"2595",4,8,0.643044619422572
"2602",4,8,0.417322834645669
"82",4,9,0.377777777777778
"432",4,9,0.277611940298507
"439",4,9,0.880597014925373
"446",4,9,0.405970149253731
"453",4,9,0.346268656716418
"810",4,9,0.75
"817",4,9,0.265243902439024
"1538",4,9,0.887978142076503
"1552",4,9,0.524590163934426
"1895",4,9,0.858611825192802
"1909",4,9,0.203084832904884
"1916",4,9,0.730077120822622
"2273",4,9,0.542105263157895
"2280",4,9,0.576315789473684
"2630",4,9,0.755905511811024
"2637",4,9,0.535433070866142
"103",4,10,0.806349206349206
"467",4,10,0.474626865671642
"481",4,10,0.692537313432836
"824",4,10,0.469512195121951
"831",4,10,0.289634146341463
"838",4,10,0.603658536585366
"845",4,10,0.716463414634146
"852",4,10,0.676829268292683
"1188",4,10,0.747340425531915
"1195",4,10,0.702127659574468
"1209",4,10,0.702127659574468
"1573",4,10,0.628415300546448
"1923",4,10,0.516709511568123
"1930",4,10,0.377892030848329
"1944",4,10,0.519280205655527
"2294",4,10,0.757894736842105
"2301",4,10,0.742105263157895
"2308",4,10,0.815789473684211
"2651",4,10,0.758530183727034
"2658",4,10,0.561679790026247
"2665",4,10,0.543307086614173
"2679",4,10,0.564304461942257
"131",4,11,0.466666666666667
"138",4,11,0.698412698412698
"152",4,11,0.355555555555556
"495",4,11,0.734328358208955
"502",4,11,0.656716417910448
"859",4,11,0.75609756097561
"873",4,11,0.704268292682927
"1230",4,11,0.625
"1587",4,11,0.702185792349727
"1594",4,11,0.748633879781421
"1601",4,11,0.751366120218579
"1958",4,11,0.632390745501285
"1965",4,11,0.912596401028278
"1979",4,11,0.532133676092545
"2322",4,11,0.468421052631579
"2343",4,11,0.507894736842105
"2693",4,11,0.377952755905512
"2700",4,11,0.645669291338583
"173",4,12,0.644444444444444
"180",4,12,0.387301587301587
"523",4,12,0.516417910447761
"530",4,12,0.740298507462687
"537",4,12,0.617910447761194
"887",4,12,0.615853658536585
"894",4,12,0.807926829268293
"901",4,12,0.661585365853659
"1251",4,12,0.587765957446808
"1258",4,12,0.707446808510638
"1272",4,12,0.534574468085106
"1615",4,12,0.825136612021858
"1622",4,12,0.554644808743169
"1629",4,12,0.866120218579235
"1643",4,12,0.300546448087432
"1986",4,12,0.609254498714653
"2000",4,12,0.735218508997429
"2350",4,12,0.6
"2357",4,12,0.613157894736842
