"","temp","visib","wdsp","NUM_COLLISIONS"
"970",29.9,7.9,12.4,0.601063829787234
"1327",41.5,6.2,12,0.254098360655738
"1334",46.9,6,12.7,0.622950819672131
"1677",38.7,9.7,10.5,0.303341902313625
"1684",46.2,2.8,10.1,0.557840616966581
"1691",36.6,7.5,8.7,0.377892030848329
"2048",36.4,8.4,9.5,0.526315789473684
"2069",42.6,10,12.9,0.528947368421053
"2412",39.1,9.9,9.7,0.561679790026247
"2419",41.1,4.4,17.9,0.624671916010499
"2426",26.7,10,7.7,0.561679790026247
"2433",21.6,10,10.9,0.335958005249344
"249",39.1,9.4,13.5,0.223880597014925
"256",46.3,7.1,13.1,0.704477611940298
"263",36.5,10,17.9,0.417910447761194
"270",41.7,10,9.4,0.122388059701493
"613",29.5,9.5,7.1,0.265243902439024
"620",43.4,7.2,9.6,0.338414634146341
"627",35,10,9.7,0.36890243902439
"634",30.8,4.7,28,0.484756097560976
"977",36.1,3.1,14.8,0.457446808510638
"984",42.1,5,12.3,0.433510638297872
"991",31,10,21.1,0.38563829787234
"1341",45.7,6.8,18.2,0.603825136612022
"1355",45.2,7.7,15.7,0.538251366120219
"1362",48.6,8.5,13.5,0.516393442622951
"1369",43.4,10,13.2,0.595628415300546
"1705",47.4,2,11.5,0.295629820051414
"1712",45.9,5.5,15.3,0.393316195372751
"1719",29.8,7.5,23.3,0.498714652956298
"1726",38.6,10,14.8,0.413881748071979
"1733",41.9,8.3,14.4,0.555269922879177
"2076",38.1,8.9,12.3,0.168421052631579
"2083",34.8,9.7,22.8,0.523684210526316
"2440",25.4,10,13.5,0.493438320209974
"2461",34.4,10,10.7,0.42257217847769
"277",42.6,10,17,0.394029850746269
"284",46.5,7.6,8.8,0.537313432835821
"291",52.1,8.3,11,0.402985074626866
"298",47.5,7,19.2,0.591044776119403
"648",46.8,9.6,10,0.582317073170732
"655",42.9,7.9,19.2,0.50609756097561
"662",49.5,9.2,8.6,0.402439024390244
"669",43.5,9.8,12.3,0.753048780487805
"1005",37.9,9.8,11.5,0.654255319148936
"1012",41.2,10,14.8,0.146276595744681
"1019",50.6,8.3,6.9,0.513297872340426
"1026",49.8,10,8.6,0.441489361702128
"1033",49.3,9.8,7.8,0.736702127659574
"1376",37,10,10.7,0.53551912568306
"1383",46.7,9.8,12.9,0.73224043715847
"1390",47.3,10,11.7,0.724043715846995
"1740",42.6,7.8,14.1,0.336760925449871
"1754",41.7,10,10.5,0.318766066838046
"1761",53.1,1.1,17.9,0.447300771208226
"2104",47.3,3.5,15.7,0.265789473684211
"2118",41.9,10,16.6,0.55
"2125",49.2,7.1,15.1,0.455263157894737
"2468",43.7,6.6,21.6,0.556430446194226
"2475",41.8,9.3,10.4,0.608923884514436
"2482",47.5,10,10.1,0.57742782152231
"312",59.4,7.5,10.5,0.656716417910448
"319",53.1,10,12.1,0.394029850746269
"326",57.8,2.5,7.1,0.507462686567164
"333",57.9,4.9,10.9,0.519402985074627
"697",51.1,2.6,15.2,0.408536585365854
"1047",59.5,8.7,12.2,0.672872340425532
"1054",58.8,6.1,11.2,0.702127659574468
"1061",62.4,8.5,13.4,0.784574468085106
"1404",47.3,7.9,12.8,0.603825136612022
"1418",55.5,10,11,0.666666666666667
"1768",54.7,9.5,13,0.663239074550129
"1775",48.7,9.9,4.5,0.544987146529563
"1782",57.9,9.8,11.3,0.763496143958869
"1789",53.9,9,9.2,0.475578406169666
"2132",54.5,10,13.1,0.892105263157895
"2139",51.2,4,7.7,0.678947368421053
"2146",55.3,9.3,8.5,0.613157894736842
"2503",53,10,9.2,0.650918635170604
"2510",48.5,9.7,10.8,0.761154855643045
"2517",56.7,10,12.8,0.766404199475066
"2524",54.6,8.1,13.2,0.5249343832021
"347",64,8.1,14,0.641791044776119
"354",62.6,8.4,12.2,0.662686567164179
"361",69.5,6.1,9.9,0.659701492537313
"711",61.2,9.3,11.3,0.524390243902439
"718",71.6,6.4,10.1,0.789634146341463
"1068",53,10,13.9,0.680851063829787
"1082",64.8,8.4,14.5,0.808510638297872
"1432",64,7.6,9.1,0.92896174863388
"1439",61.7,8.4,12.6,0.904371584699454
"1453",65.6,7.2,7.9,0.871584699453552
"1803",54.5,8.4,12.8,0.562982005141388
"1810",67.1,9.3,10.3,0.766066838046273
"1817",62.6,5.4,11.4,0.740359897172236
"2174",59.4,7.9,11.5,0.66578947368421
"2531",59.8,9.6,12.3,0.666666666666667
"389",74.9,5.7,8.4,0.51044776119403
"732",69,7.2,10.2,0.774390243902439
"739",69.4,5.1,12.3,0.503048780487805
"746",70.4,6,13.7,0.448170731707317
"753",69.2,9.9,9.9,0.570121951219512
"1096",65.5,6.5,10.4,0.747340425531915
"1117",73.7,7.8,9.2,0.574468085106383
"2209",71.2,7.9,9,0.618421052631579
"2573",70.9,5.7,9.3,0.601049868766404
"2580",66.1,9.9,9.1,0.590551181102362
"60",73.3,10,4.7,0.466666666666667
"410",68.4,8.3,9.6,0.662686567164179
"774",66.6,8.4,15.5,0.51219512195122
"1509",76.5,8.4,14.7,0.617486338797814
"1880",72.3,6.3,12.4,0.444730077120823
"1887",61.8,7,16,0.552699228791774
"2237",74.1,9.4,9.7,0.505263157894737
"67",75.2,6.7,5.4,0.628571428571429
"81",66.7,7.6,6.3,0.663492063492063
"431",68.5,8.9,8.8,0.608955223880597
"438",69.9,6.8,10.9,0.525373134328358
"795",74,8.1,9.7,0.536585365853659
"802",66.2,10,11.3,0.652439024390244
"816",58.9,10,6.7,0.49390243902439
"1166",75.8,7.6,10.3,0.898936170212766
"1180",62.4,10,9.8,0.263297872340426
"1187",70.5,4.1,15.5,0.617021276595745
"1530",70.3,8.4,13.1,0.590163934426229
"1537",68.4,10,12.4,0.948087431693989
"1551",63.1,5.7,11.3,0.560109289617486
"1894",69.6,6,13.6,0.390745501285347
"1908",66.1,3.2,21.3,0.326478149100257
"2272",66.5,7.8,11,0.173684210526316
"2279",69.4,6.9,14.7,0.794736842105263
"2636",56,9.9,11.3,0.535433070866142
"2643",63.8,10,9.7,0.532808398950131
"102",58.2,7.5,5.2,0.752380952380952
"123",49.7,8.6,5.5,0.463492063492064
"459",64.8,9.3,8.7,0.737313432835821
"466",56.4,10,11.6,0.385074626865672
"823",62.4,7.1,13.2,0.472560975609756
"830",65.2,9.4,12.3,0.716463414634146
"844",57,6.1,12.8,0.926829268292683
"1215",53.8,9.3,13.2,0.763297872340426
